name,sold_date,price,seller_country,seller_name,product_condition
Shop on eBay,N/A,N/A,N/A,N/A,Brand New
Shop on eBay,N/A,N/A,N/A,N/A,Brand New
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"490,40 zł",z: Stany Zjednoczone,"nubelectronics (2 884) 99,3%",Używany
"PlayStation 4 Pro 500 GB, w pełni funkcjonalny, bez kontrolerów i kabli (bez czyszczenia)",Sprzedane  23 gru 2024,"463,87 zł",z: Stany Zjednoczone,elpat-50 (15) 100%,Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"408,66 zł",z: Stany Zjednoczone,"morganjs (887) 98,1%",Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"326,92 zł",z: Stany Zjednoczone,"guatemala21 (1 580) 99,6%",Tylko na części
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"490,40 zł",z: Stany Zjednoczone,"nubelectronics (2 884) 99,3%",Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"735,62 zł",z: Stany Zjednoczone,"ageles9100 (476) 98,8%",Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"551,75 zł",z: Stany Zjednoczone,tarheelsam01 (170) 100%,Używany
Sony PlayStation 4 Slim PS4 1TB czarna konsola system gier CUH-2215B,Sprzedane  22 gru 2024,"613,01 zł",z: Stany Zjednoczone,"digitaldevicesnw (1 526) 99,1%",Używany
Sony PS4 slim 500GB biały rzadki niski firmware 9.00 jailbreak,Sprzedane  23 gru 2024,"770,60 zł",z: Wielka Brytania,easypeasy1230 (304) 100%,Używany
Sony PlayStation 4 Pro PS4 1TB The Last Of Us Part II Edition Konsola do gier Sys,Sprzedane  23 gru 2024,"1 226,06 zł",z: Stany Zjednoczone,"wynwoodsocialclub (2 484) 98,6%",Używany
"Konsola PlayStation 4 Slim pakiet 1 tb - 1 gra, 2 kontrolery",Sprzedane  23 gru 2024,"490,44 zł",z: Stany Zjednoczone,dealzz4you24 (840) 100%,Używany
Sony PlayStation 4 500GB - czarny + 2 kontrolery i 3 gry | Przeczytaj opis,Sprzedane  23 gru 2024,"531,31 zł",z: Stany Zjednoczone,egedai (15) 100%,Używany
Sony PlayStation 4 Slim 1TB (CUH-2215B),Sprzedane  23 gru 2024,"486,76 zł",z: Stany Zjednoczone,"digitaloasisstore (174) 97,5%",Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"531,27 zł",z: Stany Zjednoczone,websell (6 574) 100%,Używany
UŻYWANA/CZYSTA konsola Sony PlayStation 4 Pro 1 TB - czarna (PS4 Pro) TOP,Sprzedane  27 lis 2024,"980,84 zł",z: Stany Zjednoczone,"xlgaming2023 (2 223) 97,7%",Odnowiony
(ZEPSUTY DYSK) Konsola Sony PlayStation 4 Slim 1 TB czarna CUH-2115B AS IS,Sprzedane  1 lis 2024,"367,79 zł",z: Stany Zjednoczone,"xlgaming2023 (2 223) 97,7%",Tylko na części
PlayStation 4 Pro 1 TB z kontrolerem bezprzewodowym i kablem zasilającym,Sprzedane  23 gru 2024,"613,05 zł",z: Stany Zjednoczone,electroduo (109) 100%,Używany
Konsola Sony PlayStation 4 Slim 1 TB CUH-2215B Super Clean z pionowym stojakiem 🎮,Sprzedane  23 gru 2024,"613,01 zł",z: Stany Zjednoczone,ru_263158 (66) 100%,Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"531,27 zł",z: Stany Zjednoczone,"hydras.creations (197) 99,4%",Używany
Nowa oferta sprzedaży,Sprzedane  23 gru 2024,"693,49 zł",z: Wielka Brytania,"julesindahouse (7 284) 99,6%",Używany
Konsola Sony PlayStation 4 Pro Marvel's Spider 1 TB edycja limitowana PS4,Sprzedane  23 gru 2024,"1 246,54 zł",z: Stany Zjednoczone,one66 (507) 100%,Używany
Stranger of Paradise Final Fantasy Origin Steelbook fabrycznie nowy (bez gry),Sprzedane  23 gru 2024,"165,89 zł",z: Stany Zjednoczone,"collectiblesnmedia (9 232) 99,6%",Fabrycznie nowy
Konsola PlayStation 4 Slim 500GB (Jet Black) z dodatkowymi kontrolerami,Sprzedane  23 gru 2024,"594,66 zł",z: Stany Zjednoczone,beambayer1 (43) 100%,Używany
PS1 Sony PlayStation Tylko oryginalne instrukcje obsługi,Sprzedane  23 gru 2024,"17,54 zł",z: Stany Zjednoczone,"widowedspider (12 368) 99,5%",Używany
Ps4 Slim z kontrolerem i grami,Sprzedane  23 gru 2024,"613,01 zł",z: Stany Zjednoczone,trejen-5182 (44) 100%,Używany
Sony PlayStation 4 Slim PS4 1TB czarna konsola tylko system gier CUH-2215B,Sprzedane  23 gru 2024,"490,40 zł",z: Stany Zjednoczone,"electronicbuysell (6 786) 99,5%",Używany
Sony PlayStation 4 Pro The Last of Us Part II 2 Edycja limitowana 1 TB Pakiet (PS4),Sprzedane  23 gru 2024,"2 856,81 zł",z: Stany Zjednoczone,xyztechnologies (83) 0%,Fabrycznie nowy
Sony PlayStation Pro 4 PS4 1TB puste pudełko tylko z wewnętrznym kartonem,Sprzedane  23 gru 2024,"167,53 zł",z: Stany Zjednoczone,"mystery_hunters (340) 95,8%",Używany
Zamienne etui (BEZ GRY) Assassins Creed Origins PS4 Playstation 4,Sprzedane  23 gru 2024,"45,19 zł",z: Stany Zjednoczone,mycase (6 174) 99%,Nowy (inny)
Sony PlayStation 4 500 GB Home Console With 5 games,Sprzedane  23 gru 2024,"327,30 zł",z: Kanada,"kssolutions*ca (300) 98,2%",Używany
Sony PlayStation 4 Pro 1 TB czarna konsola system gier CUH-7215B,Sprzedane  21 gru 2024,"613,05 zł",z: Stany Zjednoczone,765_sales (104) 97%,Używany
Ps4 Slim Nie działa,Sprzedane  23 gru 2024,"159,39 zł",z: Stany Zjednoczone,1875lloyd (202) 100%,Tylko na części
Konsola do gier Sony PlayStation 4 Slim 1 TB CUH-2215B + kable. W pełni przetestowany,Sprzedane  23 gru 2024,"531,31 zł",z: Stany Zjednoczone,virginia1quality (9) 100%,Używany
